studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Organic Chemistry,Biology,2,9,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes:Books-Out Of Course,Prefer not to Say,No,2,Volunteering Work:Fishing:Sports:Programming,No,3,1
Databases,Computer Science,8,9,Books-Out Of Course:Notes:Books-Recommended:Internet Resources(Videos Articles),No,Yes,10+,Friend Circle in the University:Programming,No,4,1
Mandarin,History,1,9,Internet Resources(Videos Articles):Notes,Prefer not to Say,Yes,6,Friend Circle in the University:Sports,No,1,3
Latin,Biology,9,0,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,Prefer not to Say,Yes,5,Friend Circle in the University,No,3,1
Latin,Languages,6,9,Books-Recommended:Lecture Slides,Prefer not to Say,Yes,7,Volunteering Work:Sports:Fishing:Modelling:Friend Circle in the University:Programming,No,3,4
Mandarin,Computer Science,3,8,Books-Out Of Course:Notes,No,No,2,Friend Circle in the University:Modelling:Sports:Fishing:Programming,Yes,2,2.5
Genetics,Computer Science,10,5,Lecture Slides:Notes:Internet Resources(Videos Articles),No,Yes,6,Modelling:Sports:Friend Circle in the University:Programming:Fishing:Volunteering Work,Yes,1,3.5
Mandarin,History,9,7,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Notes,No,No,5,Sports:Programming,No,1,1
Linear Algebra,History,5,3,Internet Resources(Videos Articles),Yes,No,2,Programming:Sports:Volunteering Work,Yes,4,1
Functional Programming,Chemistry,9,4,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,No,6,Modelling:Friend Circle in the University:Programming,No,2,2.5
Genetics,Languages,8,7,Internet Resources(Videos Articles),No,No,1,Sports:Programming:Volunteering Work,Yes,4,1.5
Databases,History,6,2,Books-Recommended:Notes:Books-Out Of Course,,No,10+,Sports:Programming,No,2,4
Latin,Biology,9,7,Notes:Internet Resources(Videos Articles),,Yes,3,Volunteering Work,Yes,3,2.5
Databases,Mathematics,1,3,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Yes,No,5,Fishing:Programming:Modelling:Volunteering Work,No,4,3.5
Organic Chemistry,Biology,4,4,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Out Of Course,Yes,Yes,3,Sports:Modelling:Programming,Yes,4,2.5
Functional Programming,Biology,8,5,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,No,No,5,Fishing,Yes,1,2.5
English,Chemistry,2,2,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,No,No,8,Volunteering Work,No,4,4
Databases,Computer Science,5,3,Lecture Slides:Notes:Books-Recommended,Yes,Yes,1,Fishing,No,2,2
Organic Chemistry,Languages,10,2,Internet Resources(Videos Articles):Books-Out Of Course,No,No,0,Volunteering Work:Friend Circle in the University:Fishing:Programming:Modelling:Sports,Yes,2,2
Mandarin,Mathematics,10,6,Lecture Slides,Yes,No,7,Fishing:Friend Circle in the University:Volunteering Work:Sports:Programming,No,4,4
Functional Programming,Chemistry,10,0,Books-Out Of Course:Lecture Slides,Prefer not to Say,No,6,Volunteering Work:Sports:Fishing,No,1,1.5
Functional Programming,Computer Science,1,1,Books-Recommended,No,Yes,9,Programming:Friend Circle in the University,Yes,3,3
Genetics,Computer Science,0,4,Notes:Internet Resources(Videos Articles),Prefer not to Say,No,5,Sports:Fishing:Modelling:Friend Circle in the University:Programming:Volunteering Work,No,4,4
Genetics,Mathematics,5,4,Lecture Slides:Books-Out Of Course:Notes:Books-Recommended,Prefer not to Say,No,7,Sports:Volunteering Work:Programming,No,3,4
Linear Algebra,Chemistry,2,0,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Notes:Books-Out Of Course,No,No,10+,Programming:Sports:Volunteering Work:Fishing:Friend Circle in the University,Yes,3,4
Genetics,History,5,4,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course,No,Yes,9,Programming:Fishing:Sports:Friend Circle in the University:Modelling:Volunteering Work,No,3,2.5
Latin,Languages,0,1,Notes:Books-Out Of Course,No,Yes,8,Modelling:Fishing:Programming:Volunteering Work:Sports:Friend Circle in the University,No,4,2
Databases,History,9,7,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Yes,Yes,7,Friend Circle in the University:Fishing:Sports,Yes,1,2.5
Genetics,Languages,8,6,Notes:Lecture Slides:Books-Recommended,Yes,Yes,5,Friend Circle in the University:Fishing,No,4,3.5
Linear Algebra,Chemistry,6,1,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,8,Programming:Fishing:Modelling,Yes,3,3.5
Probability and Statistics,History,3,10+,Notes:Lecture Slides:Internet Resources(Videos Articles),No,Yes,5,Friend Circle in the University:Volunteering Work:Sports:Programming,No,2,1.5
Genetics,Biology,5,2,Internet Resources(Videos Articles):Books-Recommended:Notes,Prefer not to Say,No,1,Fishing:Programming,Yes,3,2
Mandarin,Languages,2,2,Books-Out Of Course:Notes:Books-Recommended,Prefer not to Say,No,5,Programming:Friend Circle in the University:Fishing:Modelling:Sports:Volunteering Work,No,1,1
Mandarin,Languages,2,10+,Books-Out Of Course:Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),Prefer not to Say,Yes,2,Fishing:Volunteering Work,Yes,3,1.5
English,History,8,10+,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course,No,No,5,Sports:Programming:Friend Circle in the University,No,2,1.5
Latin,Biology,10,2,Books-Recommended,,Yes,9,Programming:Sports:Volunteering Work:Friend Circle in the University:Modelling,Yes,4,3
Functional Programming,Chemistry,6,4,Lecture Slides:Notes,Prefer not to Say,Yes,0,Sports:Volunteering Work:Friend Circle in the University:Modelling:Fishing,Yes,1,1
Biochemistry,Biology,7,0,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,,No,6,Programming:Friend Circle in the University,No,4,3
Functional Programming,Computer Science,8,2,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Yes,Yes,8,Modelling:Fishing,No,1,1.5
Biochemistry,History,6,9,Lecture Slides,No,No,10+,Volunteering Work:Programming:Friend Circle in the University:Modelling:Fishing:Sports,Yes,3,2.5
Databases,Languages,10,7,Internet Resources(Videos Articles):Books-Out Of Course,No,No,8,Friend Circle in the University:Sports:Fishing:Modelling:Programming,Yes,2,1
Genetics,Computer Science,4,8,Internet Resources(Videos Articles),Yes,Yes,5,Volunteering Work:Modelling,No,4,4
Mandarin,History,10,0,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,Yes,5,Fishing:Modelling:Programming:Friend Circle in the University:Sports,Yes,3,1.5
Databases,Languages,8,1,Books-Out Of Course:Notes:Lecture Slides:Books-Recommended,Prefer not to Say,No,2,Friend Circle in the University:Modelling,Yes,4,1.5
Functional Programming,History,9,0,Notes:Lecture Slides:Books-Recommended:Books-Out Of Course,No,No,3,Friend Circle in the University:Fishing,No,4,3
Probability and Statistics,Languages,0,8,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes,No,No,1,Sports:Volunteering Work:Programming:Fishing,Yes,2,2
Latin,Chemistry,0,2,Notes:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,No,Yes,0,Sports:Modelling,Yes,1,1.5
Latin,Biology,8,5,Books-Recommended:Internet Resources(Videos Articles):Notes,No,No,3,Fishing:Programming:Modelling,Yes,4,1.5
English,Mathematics,10,2,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Prefer not to Say,Yes,3,Fishing,No,4,3
Probability and Statistics,Chemistry,7,8,Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,3,Volunteering Work:Fishing,Yes,3,2
Genetics,Chemistry,2,4,Notes,Prefer not to Say,No,7,Fishing:Friend Circle in the University:Programming:Modelling:Volunteering Work:Sports,No,1,1
English,Chemistry,6,10+,Internet Resources(Videos Articles),Prefer not to Say,Yes,1,Sports:Fishing:Modelling,No,2,3
Mandarin,History,8,6,Books-Out Of Course,Prefer not to Say,No,7,Fishing:Modelling:Friend Circle in the University:Volunteering Work:Programming:Sports,No,1,2.5
Mandarin,Languages,0,10+,Notes:Internet Resources(Videos Articles),,Yes,3,Volunteering Work:Programming:Friend Circle in the University:Fishing:Modelling:Sports,Yes,3,2
Functional Programming,Mathematics,7,1,Books-Out Of Course:Lecture Slides:Books-Recommended,,Yes,2,Volunteering Work:Modelling,No,1,1.5
Databases,Computer Science,1,9,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,0,Volunteering Work,No,1,3
Mandarin,Biology,3,0,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,Prefer not to Say,No,7,Programming,No,4,1
Latin,Mathematics,6,1,Internet Resources(Videos Articles),Prefer not to Say,No,2,Friend Circle in the University,Yes,2,2
Biochemistry,Mathematics,0,10+,Books-Out Of Course:Notes:Lecture Slides,,No,0,Friend Circle in the University,No,4,3
Functional Programming,History,8,7,Notes:Internet Resources(Videos Articles):Books-Recommended,Yes,No,4,Friend Circle in the University:Modelling:Programming:Sports:Volunteering Work:Fishing,No,1,2.5
Genetics,Computer Science,3,3,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Out Of Course,Prefer not to Say,No,9,Programming:Modelling:Sports:Volunteering Work,Yes,3,3
Probability and Statistics,History,5,4,Lecture Slides,No,Yes,3,Programming:Modelling:Volunteering Work,No,2,2.5
Functional Programming,Chemistry,8,9,Lecture Slides:Books-Out Of Course,Yes,No,4,Sports:Fishing:Volunteering Work,Yes,1,2
English,History,1,10+,Books-Recommended:Books-Out Of Course:Lecture Slides,Prefer not to Say,Yes,4,Programming,No,2,2
Linear Algebra,Chemistry,7,1,Books-Recommended:Notes:Lecture Slides:Internet Resources(Videos Articles),,Yes,4,Friend Circle in the University:Programming:Volunteering Work:Sports:Fishing,No,1,3
Probability and Statistics,Computer Science,0,6,Internet Resources(Videos Articles),,Yes,7,Sports:Modelling:Fishing:Programming:Friend Circle in the University,No,4,2.5
English,Chemistry,7,9,Books-Recommended:Books-Out Of Course:Notes,No,No,2,Volunteering Work,Yes,1,1.5
Biochemistry,History,9,10+,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Notes,Prefer not to Say,Yes,6,Programming:Sports,Yes,3,1.5
Functional Programming,Languages,9,9,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,3,Friend Circle in the University:Volunteering Work:Sports,No,1,3.5
Genetics,Biology,4,6,Books-Recommended:Books-Out Of Course:Lecture Slides:Notes:Internet Resources(Videos Articles),Yes,No,2,Modelling:Volunteering Work,Yes,4,1
Biochemistry,Languages,9,10+,Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),,Yes,1,Modelling:Programming:Friend Circle in the University:Volunteering Work,No,1,1
Linear Algebra,Mathematics,0,6,Notes,No,No,3,Sports:Friend Circle in the University:Modelling:Fishing:Volunteering Work,No,1,1
Organic Chemistry,History,5,9,Books-Recommended:Books-Out Of Course,No,Yes,10+,Friend Circle in the University,No,2,2
Biochemistry,Computer Science,10,3,Books-Out Of Course:Books-Recommended:Notes,,No,6,Programming:Sports:Volunteering Work:Fishing:Friend Circle in the University:Modelling,No,2,2
Latin,Languages,3,3,Books-Recommended:Lecture Slides:Books-Out Of Course,No,Yes,7,Friend Circle in the University:Fishing:Volunteering Work:Programming:Modelling:Sports,Yes,4,1
Linear Algebra,Computer Science,9,3,Books-Recommended:Notes,No,No,9,Volunteering Work:Friend Circle in the University:Programming:Fishing,Yes,4,3
Latin,Computer Science,4,3,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes,No,Yes,3,Sports:Programming:Fishing:Friend Circle in the University:Modelling:Volunteering Work,Yes,4,1.5
Databases,Biology,9,7,Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,No,0,Volunteering Work:Friend Circle in the University,No,4,3
Biochemistry,Mathematics,6,0,Internet Resources(Videos Articles),,No,3,Modelling:Fishing:Volunteering Work:Sports:Programming:Friend Circle in the University,No,4,2
Latin,Chemistry,7,6,Notes:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,7,Fishing:Volunteering Work:Modelling:Friend Circle in the University:Programming,No,3,2
Latin,Biology,6,8,Lecture Slides:Notes,Prefer not to Say,No,9,Friend Circle in the University,No,4,1
Biochemistry,Languages,9,4,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Notes,No,Yes,8,Programming:Modelling:Volunteering Work:Friend Circle in the University,No,2,2
Databases,History,8,10+,Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),,Yes,9,Programming:Volunteering Work:Sports,No,1,1.5
Genetics,Languages,9,3,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,Yes,No,9,Sports:Modelling:Fishing:Volunteering Work:Friend Circle in the University,Yes,1,3
Databases,Mathematics,7,10+,Books-Out Of Course:Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),No,Yes,6,Friend Circle in the University:Volunteering Work:Programming:Sports,No,4,1.5
Genetics,Computer Science,2,9,Internet Resources(Videos Articles),Yes,No,5,Friend Circle in the University:Fishing:Sports:Programming:Volunteering Work:Modelling,Yes,4,1.5
Probability and Statistics,Languages,8,3,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,,Yes,2,Friend Circle in the University:Programming:Fishing:Sports,Yes,3,2
Databases,Mathematics,5,9,Books-Out Of Course,Yes,Yes,3,Fishing:Programming,No,2,2.5
Genetics,Chemistry,8,7,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,No,Yes,3,Modelling:Programming:Friend Circle in the University:Volunteering Work,No,3,4
Latin,Chemistry,6,6,Books-Out Of Course:Notes:Books-Recommended,Yes,Yes,1,Sports,No,3,1.5
Biochemistry,Biology,8,9,Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,,No,6,Programming:Sports:Modelling:Volunteering Work:Friend Circle in the University,No,2,2.5
Mandarin,Chemistry,2,7,Books-Recommended:Notes,,Yes,8,Sports:Modelling:Programming:Fishing:Friend Circle in the University,No,4,2.5
English,Languages,1,10+,Lecture Slides,Prefer not to Say,No,1,Modelling:Programming,Yes,4,1.5
Probability and Statistics,Chemistry,1,7,Lecture Slides:Internet Resources(Videos Articles):Notes,Yes,No,6,Fishing:Friend Circle in the University:Modelling:Volunteering Work:Programming:Sports,Yes,1,1.5
Mandarin,Biology,7,4,Internet Resources(Videos Articles):Books-Out Of Course,,Yes,2,Modelling:Friend Circle in the University:Programming,Yes,4,2
Organic Chemistry,History,8,6,Notes:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,Prefer not to Say,No,10+,Fishing:Programming:Volunteering Work:Modelling,Yes,3,3.5
Latin,Chemistry,3,10+,Books-Recommended:Internet Resources(Videos Articles):Notes:Lecture Slides,Yes,Yes,4,Programming:Friend Circle in the University:Sports:Fishing:Modelling:Volunteering Work,No,2,1
Mandarin,Mathematics,8,6,Internet Resources(Videos Articles):Notes:Books-Out Of Course,Yes,No,2,Volunteering Work:Sports:Fishing:Programming,No,2,1.5
Functional Programming,History,0,3,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,3,Volunteering Work,No,2,1
Functional Programming,Languages,2,10+,Lecture Slides:Books-Out Of Course,Yes,No,4,Sports:Programming:Modelling:Friend Circle in the University:Fishing:Volunteering Work,Yes,3,2.5
Latin,Biology,8,10+,Internet Resources(Videos Articles):Notes:Lecture Slides,Yes,Yes,9,Friend Circle in the University,Yes,1,3.5
Functional Programming,Chemistry,7,10+,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,Yes,Yes,5,Friend Circle in the University:Modelling:Sports,Yes,1,1.5
Probability and Statistics,Biology,5,1,Internet Resources(Videos Articles),No,No,8,Friend Circle in the University:Sports:Modelling:Fishing:Programming:Volunteering Work,No,2,2.5
Latin,Languages,3,6,Lecture Slides:Notes:Books-Recommended,No,No,8,Friend Circle in the University:Volunteering Work:Programming:Fishing:Modelling,No,2,1.5
English,Biology,1,6,Lecture Slides:Notes,No,No,3,Modelling:Programming,No,3,4
Latin,Mathematics,7,0,Books-Out Of Course:Notes:Books-Recommended:Lecture Slides,,Yes,10+,Programming:Friend Circle in the University:Fishing:Modelling:Volunteering Work,No,3,3
Probability and Statistics,Mathematics,7,10+,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),No,Yes,7,Friend Circle in the University,Yes,2,4
Linear Algebra,History,3,7,Internet Resources(Videos Articles),,No,10+,Friend Circle in the University:Volunteering Work:Sports:Modelling:Fishing,No,4,1
Biochemistry,Mathematics,1,8,Notes,Yes,Yes,5,Fishing:Friend Circle in the University:Sports:Programming:Modelling,No,3,3.5
English,Mathematics,3,4,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,,Yes,3,Sports:Modelling:Fishing:Programming:Volunteering Work:Friend Circle in the University,No,3,3.5
Organic Chemistry,History,1,4,Lecture Slides:Books-Out Of Course,Yes,Yes,10+,Programming,No,1,3
Organic Chemistry,Computer Science,6,1,Books-Out Of Course:Internet Resources(Videos Articles),Yes,No,5,Sports:Fishing:Modelling:Volunteering Work,Yes,1,3.5
Organic Chemistry,History,6,1,Internet Resources(Videos Articles),Prefer not to Say,Yes,10+,Friend Circle in the University:Volunteering Work:Programming:Fishing:Modelling,Yes,2,4
Probability and Statistics,Languages,1,5,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Yes,Yes,3,Modelling:Volunteering Work:Sports:Programming:Friend Circle in the University:Fishing,Yes,3,1.5
Biochemistry,Chemistry,1,8,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,9,Modelling,Yes,4,3.5
English,Mathematics,4,10+,Lecture Slides:Notes,,No,5,Fishing:Friend Circle in the University:Volunteering Work:Modelling:Programming,Yes,4,3
Mandarin,Mathematics,1,9,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course:Notes,Yes,No,9,Programming:Friend Circle in the University:Volunteering Work:Modelling,Yes,3,1
Databases,Languages,4,2,Books-Recommended:Books-Out Of Course:Notes:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,No,2,Friend Circle in the University:Fishing:Programming:Modelling:Volunteering Work,No,1,3
Functional Programming,Computer Science,9,4,Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course,No,No,7,Sports:Volunteering Work,No,1,3
Latin,Computer Science,4,7,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Lecture Slides,No,Yes,2,Modelling:Fishing:Volunteering Work:Sports:Programming,Yes,3,2
Databases,Languages,1,0,Internet Resources(Videos Articles):Notes:Books-Recommended:Lecture Slides,Prefer not to Say,Yes,10+,Sports:Modelling:Friend Circle in the University:Programming,No,2,2
Biochemistry,History,2,0,Notes:Lecture Slides,Prefer not to Say,Yes,8,Fishing:Friend Circle in the University,No,2,4
Latin,Biology,1,0,Notes:Lecture Slides,,Yes,2,Modelling:Programming:Fishing:Friend Circle in the University:Volunteering Work:Sports,Yes,3,1
Latin,Computer Science,1,2,Notes:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,,No,8,Fishing:Modelling,Yes,2,4
Functional Programming,Mathematics,7,2,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,4,Modelling:Sports:Friend Circle in the University,No,3,2
Databases,Chemistry,2,7,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Notes,No,Yes,5,Volunteering Work:Fishing,No,3,3.5
Organic Chemistry,Computer Science,0,3,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,No,No,3,Friend Circle in the University,No,3,1
Linear Algebra,Biology,7,4,Notes:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,No,No,9,Modelling:Fishing,No,4,3.5
Organic Chemistry,Mathematics,10,1,Books-Recommended:Lecture Slides,Prefer not to Say,Yes,3,Volunteering Work:Friend Circle in the University,Yes,1,1.5
Biochemistry,Chemistry,6,5,Notes:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,,Yes,5,Volunteering Work:Programming:Friend Circle in the University:Modelling,No,2,1.5
Linear Algebra,Chemistry,8,4,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Books-Out Of Course:Notes,,No,10+,Sports:Volunteering Work:Modelling:Fishing,Yes,2,2.5
Latin,Languages,0,10+,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,No,Yes,0,Friend Circle in the University,No,2,4
Functional Programming,Biology,3,7,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,,Yes,2,Programming,No,4,1.5
Linear Algebra,Computer Science,8,6,Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,6,Modelling:Volunteering Work:Sports,No,2,2.5
Databases,Mathematics,8,7,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,,Yes,9,Friend Circle in the University:Volunteering Work:Programming,No,1,1
Linear Algebra,Biology,1,7,Lecture Slides,No,No,7,Modelling,No,3,3.5
Probability and Statistics,Computer Science,8,2,Lecture Slides:Internet Resources(Videos Articles),No,No,10+,Modelling:Volunteering Work:Programming:Friend Circle in the University,Yes,1,1
Genetics,Chemistry,7,4,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,No,No,1,Friend Circle in the University:Modelling,No,2,3.5
English,History,9,3,Internet Resources(Videos Articles),,Yes,5,Friend Circle in the University:Volunteering Work,No,1,3
English,Mathematics,7,8,Lecture Slides:Books-Recommended:Notes,No,No,6,Volunteering Work,No,1,1
Latin,Biology,6,3,Internet Resources(Videos Articles):Books-Recommended:Notes,Yes,No,5,Modelling:Volunteering Work:Sports:Friend Circle in the University:Programming,Yes,4,1
Genetics,Languages,8,0,Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course,No,No,5,Fishing:Modelling:Programming:Friend Circle in the University:Volunteering Work,No,4,4
Functional Programming,Mathematics,5,3,Notes:Books-Out Of Course:Books-Recommended,Yes,No,3,Sports,Yes,3,2
Genetics,Chemistry,2,2,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,0,Programming:Friend Circle in the University,Yes,3,2
Probability and Statistics,Computer Science,5,2,Lecture Slides:Notes,Prefer not to Say,No,7,Sports:Programming:Modelling,Yes,4,2.5
Mandarin,Mathematics,2,9,Notes:Internet Resources(Videos Articles),Prefer not to Say,No,7,Fishing:Programming,Yes,4,2.5
Linear Algebra,Computer Science,3,10+,Notes:Books-Recommended:Books-Out Of Course:Lecture Slides,Prefer not to Say,No,5,Fishing:Friend Circle in the University,No,2,3
English,Computer Science,0,2,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,Prefer not to Say,Yes,6,Fishing,Yes,2,3
English,History,10,8,Books-Recommended:Books-Out Of Course:Notes,No,Yes,7,Friend Circle in the University:Fishing:Volunteering Work:Programming:Modelling,Yes,1,2
English,History,2,3,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,3,Modelling:Friend Circle in the University:Volunteering Work:Programming,No,4,3.5
Linear Algebra,Languages,8,1,Notes:Books-Recommended:Lecture Slides,No,No,7,Sports:Modelling,Yes,1,2.5
Latin,Mathematics,5,4,Lecture Slides:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Notes,Prefer not to Say,Yes,1,Fishing,Yes,4,2
Probability and Statistics,Biology,8,3,Books-Recommended:Notes,Prefer not to Say,No,4,Volunteering Work:Fishing,No,2,3
Functional Programming,Chemistry,2,4,Internet Resources(Videos Articles):Books-Out Of Course:Notes,No,Yes,3,Sports:Friend Circle in the University:Modelling:Volunteering Work:Programming,No,2,2.5
Latin,Mathematics,0,6,Lecture Slides:Books-Out Of Course:Books-Recommended,Yes,Yes,2,Modelling:Volunteering Work:Sports:Friend Circle in the University:Programming,Yes,1,2.5
Linear Algebra,Chemistry,9,1,Notes:Books-Out Of Course,,Yes,3,Friend Circle in the University,No,4,3
Mandarin,Languages,10,10+,Books-Out Of Course:Books-Recommended,No,Yes,8,Volunteering Work:Friend Circle in the University:Fishing:Sports:Programming:Modelling,Yes,3,4
Genetics,Chemistry,3,0,Notes:Lecture Slides:Books-Recommended,Prefer not to Say,No,8,Sports:Fishing,No,4,3.5
Functional Programming,Chemistry,6,6,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,8,Modelling:Volunteering Work:Sports:Programming:Friend Circle in the University,Yes,1,2.5
Biochemistry,Languages,8,0,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,,No,10+,Sports,Yes,4,3
Latin,History,2,1,Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,No,7,Volunteering Work:Modelling:Sports:Friend Circle in the University:Fishing:Programming,No,2,3.5
English,Chemistry,2,3,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,7,Modelling:Sports:Volunteering Work:Programming:Fishing,No,3,3
Functional Programming,Mathematics,7,2,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,0,Fishing:Modelling:Programming,No,2,2.5
Linear Algebra,Chemistry,0,1,Lecture Slides,No,Yes,1,Programming:Friend Circle in the University:Fishing,Yes,2,1
Databases,Chemistry,7,5,Lecture Slides:Notes:Books-Recommended,,No,2,Sports:Modelling:Friend Circle in the University:Programming,No,2,1
Biochemistry,Computer Science,10,3,Lecture Slides:Books-Out Of Course,,Yes,8,Friend Circle in the University:Volunteering Work:Programming:Fishing:Modelling:Sports,No,2,1
Probability and Statistics,Mathematics,8,2,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course:Books-Recommended,,Yes,7,Programming,Yes,3,3.5
Biochemistry,Mathematics,0,4,Internet Resources(Videos Articles):Lecture Slides,Yes,No,3,Fishing:Friend Circle in the University:Modelling:Programming,Yes,3,1
Databases,History,5,6,Books-Recommended:Notes:Internet Resources(Videos Articles):Books-Out Of Course,No,No,5,Modelling:Sports,No,1,2
Genetics,Languages,0,4,Books-Out Of Course:Notes:Books-Recommended:Internet Resources(Videos Articles),,Yes,4,Sports:Modelling:Programming:Volunteering Work,No,3,4
Genetics,Chemistry,10,8,Internet Resources(Videos Articles),Prefer not to Say,Yes,0,Sports:Volunteering Work,No,2,3
Biochemistry,Languages,8,10+,Notes:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,No,No,7,Fishing:Modelling:Sports:Volunteering Work:Friend Circle in the University,Yes,1,4
Genetics,History,8,0,Books-Recommended:Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course,Yes,Yes,2,Modelling,Yes,3,2
Functional Programming,Mathematics,3,5,Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles),Prefer not to Say,Yes,8,Modelling,Yes,2,2.5
Organic Chemistry,Languages,10,0,Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles),Prefer not to Say,Yes,5,Fishing:Programming:Sports:Volunteering Work:Modelling,Yes,3,2
Mandarin,Chemistry,8,0,Notes,No,Yes,9,Sports,No,4,1
